product_id,product_name,main_category,sub_category,actual_price,discounted_price,discount_percentage,rating,rating_count
B002PD61Y4,d-link dwa-131 300 mbps wireless nano usb adapter (black),computers&accessories,networkingdevices,13.81,5.8,58.0,4.1,8131.0
B002SZEOLG,"tp-link nano usb wifi dongle 150mbps high gain wireless network wi-fi adapter for pc desktop and laptops, supports windows 10/8.1/8/7/xp, linux, mac os x (tl-wn722n)",computers&accessories,networkingdevices,15.31,8.57,44.0,4.2,179692.0
B003B00484,duracell plus aaa rechargeable batteries (750 mah) pack of 4,electronics,generalpurposebatteries&batterychargers,5.7,4.56,20.0,4.3,27201.0
B003L62T7W,"logitech b100 wired usb mouse, 3 yr warranty, 800 dpi optical tracking, ambidextrous pc/mac/laptop - black",computers&accessories,accessories&peripherals,4.29,3.17,26.0,4.3,31534.0
B004IO5BMQ,"logitech m235 wireless mouse, 1000 dpi optical tracking, 12 month life battery, compatible with windows, mac, chromebook/pc/laptop",computers&accessories,accessories&peripherals,11.38,7.96,30.0,4.5,54405.0
B005FYNT3G,sandisk cruzer blade 32gb usb flash drive,computers&accessories,externaldevices&datastorage,7.43,3.27,56.0,4.3,253105.0
B005LJQMCK,"bluerigger digital optical audio toslink cable (3.3 feet / 1 meter) with 8 channel (7.1) audio support (for home theatre, xbox, playstation etc.)",electronics,"hometheater,tv&video",6.85,4.73,31.0,4.2,30023.0
B005LJQMZC,"bluerigger digital optical audio toslink cable (6 feet / 1.8 meter) with 8 channel (7.1) audio support (for home theatre, xbox, playstation etc.)",electronics,"hometheater,tv&video",22.85,5.48,76.0,4.2,30023.0
B006LW0WDQ,amazon basics 16-gauge speaker wire - 50 feet,electronics,"hometheater,tv&video",9.09,4.54,50.0,4.4,12091.0
B0073QGKAS,bajaj atx 4 750-watt pop-up toaster (white),home&kitchen,kitchen&homeappliances,17.14,17.14,0.0,4.3,9331.0
B0083T231O,belkin essential series 4-socket surge protector universal socket with 5ft heavy duty cable (grey),electronics,poweraccessories,17.14,14.74,14.0,4.5,20668.0
B0085IATT6,"d-link dir-615 wi-fi ethernet-n300 single_band 300mbps router, mobile app support, router | ap | repeater | client modes(black)",computers&accessories,networkingdevices,20.58,10.29,50.0,4.1,22375.0
